date,close,high,low,open,volume,rentabilidad,rentabilidad_%,media_movil_10d,media_movil_50d,rentabilidad_acumulada,maximo_acumulado,caida_maxima,volatilidad_30d,sharpe_30d
2018-01-02,5288.60009765625,5318.740234375,5258.66015625,5318.740234375,66802600,,,,,,,,,
2018-01-03,5331.27978515625,5347.6298828125,5291.89013671875,5295.31005859375,75371700,0.008070129469406107,0.8070129469406107,,,1.008070129469406,1.008070129469406,0.0,,
2018-01-04,5413.68994140625,5430.72021484375,5360.009765625,5360.009765625,92583500,0.015457856194201813,1.5457856194201813,,,1.0236527325644147,1.0236527325644147,0.0,,
2018-01-05,5470.75,5470.75,5422.77978515625,5424.16015625,76275800,0.010539956889169089,1.0539956889169089,,,1.0344419882351237,1.0344419882351237,0.0,,
2018-01-08,5487.419921875,5499.14990234375,5478.919921875,5483.47021484375,72318000,0.0030470999177443225,0.30470999177443225,,,1.0375940363323861,1.0375940363323861,0.0,,
2018-01-09,5523.93994140625,5525.669921875,5491.91015625,5491.91015625,78844900,0.006655225962508782,0.6655225962508782,,,1.0444994591015297,1.0444994591015297,0.0,,
2018-01-10,5504.68017578125,5529.2998046875,5487.56005859375,5518.31982421875,96478300,-0.0034865993890760283,-0.34865993890760283,,,1.0408577079255361,1.0444994591015297,-0.0034865993890760283,,
2018-01-11,5488.5498046875,5516.58984375,5478.97021484375,5514.08984375,83544400,-0.0029303012307088094,-0.29303012307088094,,,1.0378076813030093,1.0444994591015297,-0.0064066838333038945,,
2018-01-12,5517.06005859375,5520.18017578125,5486.08984375,5502.6298828125,80659900,0.005194496710570151,0.5194496710570151,,,1.0431985698897421,1.0444994591015297,-0.0012454666208315812,,
2018-01-15,5509.68994140625,5525.009765625,5501.27978515625,5515.5498046875,56215000,-0.0013358776430246744,-0.13358776430246744,5453.565966796875,,1.041804984242991,1.0444994591015297,-0.002579680472842405,,
2018-01-16,5513.81982421875,5535.9501953125,5500.22021484375,5513.7001953125,69422000,0.0007495671909707458,0.07495671909707458,5476.087939453125,,1.0425858870785694,1.0444994591015297,-0.0018320469257173677,,
2018-01-17,5493.990234375,5518.39013671875,5485.02001953125,5496.259765625,72741600,-0.003596343456246265,-0.3596343456246265,5492.358984375,,1.0388363901459996,1.0444994591015297,-0.0054218017119908035,,
2018-01-18,5494.830078125,5515.16015625,5474.10986328125,5511.2998046875,82084500,0.00015286589785779015,0.015286589785779015,5500.472998046875,,1.0389951928035066,1.0444994591015297,-0.005269764622719775,,
2018-01-19,5526.509765625,5528.89013671875,5490.31982421875,5493.990234375,78466200,0.005765362540712138,0.5765362540712138,5506.048974609375,,1.044985376768076,1.044985376768076,0.0,,
2018-01-22,5541.990234375,5543.06005859375,5512.27001953125,5520.2099609375,77421200,0.0028011293576803986,0.28011293576803986,5511.506005859375,,1.0479125159852876,1.0479125159852876,0.0,,
2018-01-23,5535.259765625,5567.02978515625,5521.830078125,5563.56005859375,85807600,-0.001214449767206971,-0.1214449767206971,5512.63798828125,,1.046639878874196,1.0479125159852876,-0.001214449767206971,,
2018-01-24,5495.16015625,5538.580078125,5495.16015625,5532.85009765625,85219400,-0.007244395217732347,-0.7244395217732347,5511.685986328125,,1.0390576059409917,1.0479125159852876,-0.008450047030853614,,
2018-01-25,5481.2099609375,5525.759765625,5456.0498046875,5493.81005859375,84803300,-0.0025386330727109607,-0.2538633072710961,5510.952001953125,,1.036419819938098,1.0479125159852876,-0.010967228534706108,,
2018-01-26,5529.14990234375,5539.77001953125,5493.66015625,5496.830078125,65388300,0.008746233358674305,0.8746233358674305,5512.160986328125,,1.0454845895408318,1.0479125159852876,-0.0023169171160942748,,
2018-01-29,5521.58984375,5537.52978515625,5517.669921875,5534.14013671875,60112400,-0.0013673093924521096,-0.13673093924521096,5513.3509765625,,1.0440550886418887,1.0479125159852876,-0.0036810585660120854,,
2018-01-30,5473.77978515625,5518.93994140625,5464.85009765625,5493.93017578125,80083100,-0.008658748647885739,-0.8658748647885739,5509.34697265625,,1.0350148780547925,1.0479125159852876,-0.01230793385301654,,
2018-01-31,5481.93017578125,5496.77978515625,5471.18017578125,5483.509765625,83562500,0.001488987673033959,0.1488987673033959,5508.140966796875,,1.0365560024496228,1.0479125159852876,-0.01083727254177036,,
2018-02-01,5454.5498046875,5529.39990234375,5432.58984375,5510.58984375,87026200,-0.004994658854779677,-0.49946588547796766,5504.112939453125,,1.0313787588335128,1.0479125159852876,-0.015777802917287476,,
2018-02-02,5364.97998046875,5437.259765625,5364.97998046875,5433.83984375,99312300,-0.016421121343832223,-1.6421121343832223,5487.9599609375,,1.0144423630832566,1.0479125159852876,-0.03193983504487585,,
2018-02-05,5285.830078125,5332.77001953125,5283.27001953125,5322.93994140625,96711900,-0.014753065739647853,-1.4753065739647853,5462.3439453125,,0.9994762282116056,1.0479125159852876,-0.04622169029839318,,
