indice,CAGR,drawdown_promedio,volatilidad_media,sharpe_medio,rendimiento_18_24,volumen_medio
🇺🇸 SP 500,0.11863052174582833,-0.06021467018745928,0.010568754229821259,0.0953181480011015,119.1155835544127,4156281079.5454545
🇫🇷 CAC 40,0.04741903251275148,-0.07386934949158594,0.010481423550124016,0.05172037132500203,38.289148802060154,76056656.80803572
🇩🇪 DAX 40,0.06431848858339206,-0.0752539447860998,0.010813812602177475,0.05577676693644927,54.677475927526096,80018850.42205966
🇺🇸 Dow Jones,0.07865174581392598,-0.0554767634202256,0.010094186835487084,0.07102943977434298,69.78467912095736,350294431.1717861
🇪🇺 Euro Stoxx 50,0.04791550105248765,-0.0761442953108824,0.010842986509350764,0.05069528286906387,38.73066736558659,35009406.935758956
🇬🇧 FTSE 100,0.00861108197257443,-0.08470789692582911,0.00896496707760224,0.031955412135511875,6.183233696021695,820588189.3544734
🇭🇰 Hang Seng,-0.05933155756463926,-0.2832385908103823,0.013984655034795608,-0.011391475531889229,-34.79598309165145,2266020910.4130306
🇺🇸 Nasdaq 100,0.18374479810956257,-0.08018661220858098,0.013906986554647423,0.09723797502531037,225.5411382665938,4182594886.3636365
🇯🇵 Nikkei 225,0.07859140223006711,-0.07623677236142698,0.011960068613786028,0.055164179342330644,69.71827984167496,82206143.9438268
🇺🇸 Russell 2000,0.0532081529436228,-0.1352790158271036,0.014234857865123992,0.04272857165904132,43.72681565028955,4150171142.0454545
