date,open,high,low,close,volume,rentabilidad,rentabilidad_%,media_movil_10d,media_movil_50d,rentabilidad_acumulada,caida_maxima,volatilidad_30d,sharpe_30d
2018-01-02,7687.7998046875,7691.2998046875,7624.10009765625,7648.10009765625,576251800,,,,,,,,
2018-01-03,7648.10009765625,7689.89990234375,7640.5,7671.10009765625,571662800,0.0030072828161660237,0.30072828161660237,,,1.003007282816166,0.0,,
2018-01-04,7671.10009765625,7702.5,7671.10009765625,7695.89990234375,705864000,0.003232887639554649,0.3232887639554649,,,1.0062498926631658,0.0,,
2018-01-05,7695.89990234375,7727.7001953125,7689.7998046875,7724.2001953125,636035700,0.0036773208237974586,0.36773208237974586,,,1.0099501963474,0.0,,
2018-01-08,7724.2001953125,7733.39990234375,7691.7998046875,7696.5,635135400,-0.0035861570922657293,-0.35861570922657293,,,1.0063283562879337,-0.0035861570922656183,,
2018-01-09,7696.5,7733.10009765625,7696.5,7731.0,709674500,0.00448255700643152,0.448255700643152,,,1.0108392805121829,0.0,,
2018-01-10,7731.0,7756.10009765625,7716.2001953125,7748.5,861758600,0.0022636140214720157,0.22636140214720157,,,1.013127430481005,0.0,,
2018-01-11,7748.5,7769.0,7734.60009765625,7762.89990234375,982791800,0.0018584116078919077,0.18584116078919077,,,1.0150102382580846,0.0,,
2018-01-12,7762.89990234375,7792.60009765625,7752.60009765625,7778.60009765625,1133867000,0.0020224652526770193,0.20224652526770193,,,1.017063061196073,0.0,,
2018-01-15,7778.60009765625,7783.60009765625,7763.39990234375,7769.10009765625,551904700,-0.001221299447295432,-0.1221299447295432,7722.5900390625,,1.0158209226415695,-0.001221299447295432,,
2018-01-16,7769.10009765625,7791.7998046875,7740.60009765625,7755.89990234375,824367900,-0.0016990636169667006,-0.16990636169667006,7733.37001953125,,1.0140949782705557,-0.0029182879988057797,,
2018-01-17,7755.89990234375,7755.89990234375,7711.10009765625,7725.39990234375,822508200,-0.0039324901538225765,-0.39324901538225765,7738.8,,1.0101070597534658,-0.006839302013807114,,
2018-01-18,7725.39990234375,7739.5,7683.7001953125,7701.0,765527900,-0.0031583999083785175,-0.31583999083785175,7739.310009765625,,1.006916737708488,-0.009976100671331811,,
2018-01-19,7701.0,7731.7998046875,7694.7001953125,7730.7998046875,795594100,0.003869601959161084,0.3869601959161084,7739.969970703125,,1.0108131046894369,-0.00614510225087328,,
2018-01-22,7730.7998046875,7739.39990234375,7703.7001953125,7715.39990234375,730171300,-0.001992019290735225,-0.19920192907352252,7741.8599609375,,1.0087995454855676,-0.008124880379381194,,
2018-01-23,7715.39990234375,7745.2001953125,7710.0,7731.7998046875,742420200,0.002125606261675239,0.21256062616752391,7741.93994140625,,1.010943856116227,-0.00601654441431565,,
2018-01-24,7731.7998046875,7732.0,7643.39990234375,7643.39990234375,746643300,-0.011433289088803922,-1.1433289088803922,7731.429931640625,,0.9993854427566999,-0.017381044611515017,,
2018-01-25,7643.39990234375,7662.39990234375,7608.5,7615.7998046875,713251600,-0.0036109712966591045,-0.36109712966591045,7716.719921875,,0.9957766906086065,-0.020929253454975982,,
2018-01-26,7615.7998046875,7667.39990234375,7615.7998046875,7665.5,713831300,0.006525932480776264,0.6525932480776264,7705.409912109375,,1.0022750620574492,-0.014539903869119963,,
2018-01-29,7665.5,7689.2001953125,7663.89990234375,7671.5,612924000,0.0007827278064054255,0.07827278064054255,7695.64990234375,,1.0030595706181884,-0.013768556849775182,,
2018-01-30,7671.5,7671.7001953125,7587.10009765625,7588.0,798999000,-0.01088444241673725,-1.088444241673725,7678.859912109375,,0.9921418264812375,-0.024503136202319586,,
2018-01-31,7588.0,7599.0,7521.7998046875,7533.60009765625,880751700,-0.007169201679461001,-0.7169201679461001,7659.679931640625,,0.9850289616325647,-0.03149666995656686,,
2018-02-01,7533.60009765625,7554.7001953125,7476.5,7490.39990234375,872509100,-0.005734336141088758,-0.5734336141088758,7638.619921875,,0.9793804744578559,-0.03705039360479967,,
2018-02-02,7490.39990234375,7494.7998046875,7432.2998046875,7443.39990234375,871574000,-0.006274698362272124,-0.6274698362272124,7609.879931640625,,0.9732351573987339,-0.04309261192299829,,
2018-02-05,7443.39990234375,7443.39990234375,7334.7998046875,7335.0,888994600,-0.014563224301520794,-1.4563224301520794,7571.83994140625,,0.9590617155034102,-0.05702826885134604,,
2018-02-06,7335.0,7335.0,7079.39990234375,7141.39990234375,1354591000,-0.02639401467706204,-2.639401467706204,7512.799951171875,,0.9337482265082049,-0.0819170785633383,,
2018-02-07,7141.39990234375,7311.5,7141.39990234375,7279.39990234375,1027400300,0.01932394234843371,1.932394234843371,7476.399951171875,,0.9517919234052017,-0.06417609711841465,,
2018-02-08,7279.39990234375,7279.39990234375,7161.2998046875,7170.7001953125,973611300,-0.014932509339987243,-1.4932509339987243,7431.889990234375,,0.9375792816192291,-0.07815029628877723,,
2018-02-09,7170.7001953125,7170.7001953125,7073.0,7092.39990234375,927291900,-0.01091947659726944,-1.091947659726944,7374.57998046875,,0.9273414065955032,-0.08821641255465162,,
2018-02-12,7092.39990234375,7199.89990234375,7092.39990234375,7177.10009765625,718740600,0.011942388539669002,1.1942388539669002,7325.139990234375,,0.9384160779819899,-0.0773275386892861,,
2018-02-13,7177.10009765625,7203.0,7165.7998046875,7168.0,718988800,-0.0012679351733190236,-0.12679351733190236,7283.139990234375,,0.9372262272295084,-0.07849742755643474,0.008699007104658554,-0.24393124891016796
